x,y,z
1.142183281517261761e+01,7.028715166490204780e-01,-1.655666698678472715e+00
1.147826167252622120e+01,8.006065938837554352e-01,-2.135159704310542139e+00
1.143132395705743498e+01,8.929768492140827130e-01,-2.604077688799216528e+00
1.125342391979742374e+01,9.591365927706848593e-01,-2.962594073063085975e+00
1.096222557761462646e+01,9.834796443016995404e-01,-3.129955543408536212e+00
1.061065947059072023e+01,9.605214759027105309e-01,-3.070445925270584908e+00
1.026505967914962092e+01,8.967554223401998925e-01,-2.806094228999410856e+00
9.979517631536195310e+00,8.088520857102390327e-01,-2.411704765059554667e+00
9.775705674479324259e+00,7.187478550820928236e-01,-1.993484160767778235e+00
9.635377305397259562e+00,6.471705507440641547e-01,-1.657868550349860026e+00
9.508212823288996418e+00,6.076468753131172296e-01,-1.480348554720391174e+00
9.332218962210992785e+00,6.028647647443108326e-01,-1.484089688675827245e+00
9.059393066823121288e+00,6.244830957943472427e-01,-1.634951530934597885e+00
8.677383245430448255e+00,6.563526289222370025e-01,-1.854180594558116901e+00
8.219113955126179150e+00,6.800108430995746023e-01,-2.044354941266753212e+00
7.756401366516307405e+00,6.806032171622911076e-01,-2.119973678076294110e+00
7.379088144120329318e+00,6.512952839039316544e-01,-2.032779138470755420e+00
7.166310821540507803e+00,5.947946989014319952e-01,-1.783874045644051165e+00
7.159430483761743957e+00,5.216065346749082510e-01,-1.419254361818892196e+00
7.345885217260463840e+00,4.457550727986910877e-01,-1.010967937620154578e+00
7.659808688338861415e+00,3.795459872428562087e-01,-6.308455230121778889e-01
7.999813423609472451e+00,3.292326691281518558e-01,-3.260541731810752131e-01
8.258664269702929772e+00,2.930969418224743661e-01,-1.048475740512673782e-01
8.355562253927732996e+00,2.625841223337167518e-01,6.283185307179567358e-02
8.260771391528560770e+00,2.260472381534111008e-01,2.305112801948587253e-01
8.004700309542112535e+00,1.737294373443395434e-01,4.517178793246662272e-01
7.668525695333530123e+00,1.021663270998824646e-01,7.565092291557685700e-01
7.359378983395920670e+00,1.637647220890747768e-02,1.136631643763745370e+00
7.178054928420494640e+00,-7.103290371899922961e-02,1.544918067962482544e+00
7.189517212279493918e+00,-1.436446278380022479e-01,1.909537751787642401e+00
7.405422368503576713e+00,-1.866733232134875076e-01,2.158442844614346878e+00
7.783831309799785103e+00,-1.922317307008000187e-01,2.245637384219886012e+00
8.245593645337518041e+00,-1.625865617214147796e-01,2.170018647410346002e+00
8.701473134319703817e+00,-1.102000648030168062e-01,1.979844300701709026e+00
9.080728042049445392e+00,-5.440682376830674460e-02,1.760615237078190010e+00
9.351658151615927395e+00,-1.570027184390548891e-02,1.609753394819419370e+00
9.527605000218130726e+00,-9.422200038815997658e-03,1.606012260863982855e+00
9.657000264382931576e+00,-4.088316062737096246e-02,1.783532256493450374e+00
9.801546103609474869e+00,-1.035079323062051970e-01,2.119147866911372358e+00
1.001061357577843580e+01,-1.806369041476727499e-01,2.537368471203144349e+00
1.030111166756212704e+01,-2.504374501052916147e-01,2.931757935143002758e+00
1.065003340039110569e+01,-2.923772854732573645e-01,3.196109631414176810e+00
1.100234732733165188e+01,-2.932151326622769449e-01,3.255619249552128114e+00
1.129144254325152552e+01,-2.506356213910851949e-01,3.088257779206677434e+00
1.146483733075555556e+01,-1.734359932117964798e-01,2.729741394942809318e+00
1.150588244904351853e+01,-7.830076594058188455e-02,2.260823410454135374e+00
1.144342810487414930e+01,1.569825617500736348e-02,1.781330404822064395e+00
1.134547855454769660e+01,9.302913153825800863e-02,1.379549567873914917e+00
1.129836359512523103e+01,1.461183592256602715e-01,1.106879685448342476e+00
1.137803977043184744e+01,1.768800651113726363e-01,9.656837254574944795e-01
1.162305167839645215e+01,1.949789381518361175e-01,9.137226120682253594e-01
1.201841154547066104e+01,2.135601158499301766e-01,8.829603954590603543e-01
1.249624116732116974e+01,2.440198342344985505e-01,8.057946040850381131e-01
1.295357456472836510e+01,2.916805109997985812e-01,6.394621181628191708e-01
1.328204664516813338e+01,3.538804263850000575e-01,3.802464318487664974e-01
1.341205744222006224e+01,8.438151311641127750e-01,1.256637061435917357e-01
1.328695694170655628e+01,9.001566844418659175e-01,-1.947110958099944056e-01
1.295098476185995118e+01,9.314578195191836052e-01,-4.563442397131885486e-01
1.248690774666852832e+01,9.359092323586941653e-01,-6.242279501624863336e-01
1.200386901933086747e+01,9.211294664771781937e-01,-7.021133933084819922e-01
1.160482804122450418e+01,9.022470589180526801e-01,-7.331624997855346049e-01
1.135690951412337490e+01,8.971609561632787333e-01,-7.856082049434935932e-01
1.127392524798746010e+01,9.205036334639399298e-01,-9.281209650473651873e-01
1.131622582392033927e+01,9.783254247766344225e-01,-1.203333779522975266e+00
1.140730475033786817e+01,1.065334926887097300e+00,-1.608861643309138723e+00
1.146113319863491853e+01,1.165721813303316701e+00,-2.092826423091487698e+00
1.141085263815699236e+01,1.257419414605488672e+00,-2.566117558589683156e+00
1.122928458996118195e+01,1.318523127794149152e+00,-2.927977483386515534e+00
1.093474378256311752e+01,1.333849015820648853e+00,-3.096899774615800904e+00
1.058080190693990374e+01,1.299542227159514507e+00,-3.036835167001556091e+00
1.023417277840247586e+01,1.224256455375630770e+00,-2.770018114472661885e+00
9.948896824883053824e+00,1.126524368993734537e+00,-2.371950555984451814e+00
9.746142252061558153e+00,1.029163105159941249e+00,-1.949829606817110372e+00
9.606844328596837457e+00,9.525049878734805908e-01,-1.611084029551982155e+00
9.479810284420851829e+00,9.086008129844124204e-01,-1.431908474157742361e+00
9.302414359208203365e+00,8.981968298232999581e-01,-1.435684498103059425e+00
9.026494574374190449e+00,9.113564180137917470e-01,-1.587953284944028987e+00
8.640101986261552014e+00,9.313961718091068320e-01,-1.809226889047152564e+00
8.177037039419639441e+00,9.407344099701258067e-01,-2.001174810589350539e+00
7.710220841224161958e+00,9.266623136756642065e-01,-2.077498771267790367e+00
7.330505865583448077e+00,8.851334256462959349e-01,-1.989491051316190751e+00
7.117641421137030022e+00,8.213882253618456364e-01,-1.738264657976440697e+00
7.113020679103949639e+00,7.473358234949192269e-01,-1.370244513961746291e+00
7.303526207745097309e+00,6.767260489468392981e-01,-9.581503915146569739e-01
7.622320069663963693e+00,6.198850039367405085e-01,-5.744829375262925364e-01
7.966921486711873612e+00,5.799069267900930358e-01,-2.668490893408979048e-01
8.229203105579882660e+00,5.516587219619971671e-01,-4.357950714305539042e-02
8.327923874905476254e+00,5.239485595034031329e-01,1.256637061435915415e-01
