x,y
-1.319864075937542403e-01,-4.699999999999999734e-01
-1.937511476670157051e-01,-4.699999999999999734e-01
-2.515514733942029735e-01,-4.699999999999999734e-01
-3.102078745696997264e-01,-4.699999999999999734e-01
-3.701558975826815812e-01,-4.699999999999999734e-01
-4.306443654020888911e-01,-4.699999999999999734e-01
-4.906328456876917765e-01,-4.699999999999999734e-01
-5.499825723552017598e-01,-4.699999999999999734e-01
-6.204178579133758920e-01,-4.699999999999999734e-01
-6.761984151018824996e-01,-4.699999999999999734e-01
-7.297041030044189025e-01,-4.699999999999999734e-01
-7.686951723412077664e-01,-4.699999999999999734e-01
-8.217730826778116837e-01,-4.699999999999999734e-01
-8.752631695343707774e-01,-4.699999999999999734e-01
-9.251764406864136925e-01,-4.699999999999999734e-01
-9.699999999999999734e-01,-4.699999999999999734e-01
-9.699999999999999734e-01,-4.284450179878693810e-01
-9.699999999999999734e-01,-3.716646438165995825e-01
-9.699999999999999734e-01,-3.107641675994380348e-01
-9.699999999999999734e-01,-2.475501127032898319e-01
-9.699999999999999734e-01,-1.984035518022130851e-01
-9.699999999999999734e-01,-1.154379102118492928e-01
-9.699999999999999734e-01,-4.645904462129167578e-02
-9.699999999999999734e-01,2.136806108823339004e-02
-9.699999999999999734e-01,1.010866456578568134e-01
-9.699999999999999734e-01,1.644249894495352360e-01
-9.699999999999999734e-01,2.237973336298112181e-01
-9.699999999999999734e-01,2.792860407170802972e-01
-9.699999999999999734e-01,3.333120558588998916e-01
-9.699999999999999734e-01,3.897228454968784117e-01
-9.699999999999999734e-01,4.699999999999999734e-01
-9.115051304191776893e-01,4.699999999999999734e-01
-8.593633167072374235e-01,4.699999999999999734e-01
-8.071844218257425707e-01,4.699999999999999734e-01
-7.538244722943443499e-01,4.699999999999999734e-01
-7.002655835095892289e-01,4.699999999999999734e-01
-6.600268492138386955e-01,4.699999999999999734e-01
-6.028096381553682548e-01,4.699999999999999734e-01
-5.271280071640773723e-01,4.699999999999999734e-01
-4.654982090722190602e-01,4.699999999999999734e-01
-4.191518548176910164e-01,4.699999999999999734e-01
-3.404926671487113476e-01,4.699999999999999734e-01
-2.744409548029291823e-01,4.699999999999999734e-01
-2.091271300877700079e-01,4.699999999999999734e-01
-1.437085114883480952e-01,4.699999999999999734e-01
-7.819707402224142234e-02,4.699999999999999734e-01
-1.281502895252296242e-02,4.699999999999999734e-01
5.006801143426085898e-02,4.699999999999999734e-01
9.636435518698792391e-02,4.699999999999999734e-01
1.570338549286216800e-01,4.699999999999999734e-01
2.039669209355973734e-01,4.699999999999999734e-01
2.683275487160336481e-01,4.699999999999999734e-01
3.352896600870067245e-01,4.699999999999999734e-01
4.028155038800076415e-01,4.699999999999999734e-01
4.842429533222529781e-01,4.699999999999999734e-01
5.495025025719770806e-01,4.699999999999999734e-01
6.131731626094977239e-01,4.699999999999999734e-01
6.765740855157101885e-01,4.699999999999999734e-01
7.508320209130796563e-01,4.699999999999999734e-01
8.082700877347651636e-01,4.699999999999999734e-01
8.635551014024458460e-01,4.699999999999999734e-01
9.188017013781893949e-01,4.699999999999999734e-01
9.699999999999999734e-01,4.699999999999999734e-01
9.699999999999999734e-01,4.124231264985610546e-01
9.699999999999999734e-01,3.451518547245390200e-01
9.699999999999999734e-01,2.634645819212962370e-01
9.699999999999999734e-01,1.993966761429438739e-01
9.699999999999999734e-01,1.404024646284668942e-01
9.699999999999999734e-01,8.476147941296706401e-02
9.699999999999999734e-01,2.958947374990148621e-02
9.699999999999999734e-01,-2.733015470830758159e-02
9.699999999999999734e-01,-8.650079867630772190e-02
9.699999999999999734e-01,-1.472429324743621815e-01
9.699999999999999734e-01,-2.092325019544591658e-01
9.699999999999999734e-01,-2.712153185601161587e-01
9.699999999999999734e-01,-3.335487042792573686e-01
9.699999999999999734e-01,-4.116348060999197589e-01
9.699999999999999734e-01,-4.699999999999999734e-01
9.341714557799644103e-01,-4.699999999999999734e-01
8.834687071066549269e-01,-4.699999999999999734e-01
8.307770112284029729e-01,-4.699999999999999734e-01
7.770714527399477101e-01,-4.699999999999999734e-01
7.218059741216052982e-01,-4.699999999999999734e-01
6.638645260773248236e-01,-4.699999999999999734e-01
6.060549172493291392e-01,-4.699999999999999734e-01
5.627199924101298212e-01,-4.699999999999999734e-01
5.037612075345409002e-01,-4.699999999999999734e-01
4.425748221210657474e-01,-4.699999999999999734e-01
3.811346455787804621e-01,-4.699999999999999734e-01
3.193391777359159689e-01,-4.699999999999999734e-01
2.570519529704330397e-01,-4.699999999999999734e-01
1.947777507688506771e-01,-4.699999999999999734e-01
1.331255768870741041e-01,-4.699999999999999734e-01
7.193314565846181674e-02,-4.699999999999999734e-01
1.103105605130954778e-02,-4.699999999999999734e-01
-4.719924076210207931e-02,-4.699999999999999734e-01
-8.934229581007889498e-02,-4.699999999999999734e-01
-1.571172069393672321e-01,-4.699999999999999734e-01
-2.132543313198391188e-01,-4.699999999999999734e-01
-2.709728734867890010e-01,-4.699999999999999734e-01
-3.302347099963265920e-01,-4.699999999999999734e-01
-3.921451982013547388e-01,-4.699999999999999734e-01
-4.688354733970948596e-01,-4.699999999999999734e-01
-5.291624256825043782e-01,-4.699999999999999734e-01
-5.854427345702430951e-01,-4.699999999999999734e-01
-6.401719316620941846e-01,-4.699999999999999734e-01
-6.946894736612838628e-01,-4.699999999999999734e-01
-7.491919830374544897e-01,-4.699999999999999734e-01
-8.034432870891833334e-01,-4.699999999999999734e-01
-8.561560245752096732e-01,-4.699999999999999734e-01
-8.932351669915062908e-01,-4.699999999999999734e-01
-9.391359261377831835e-01,-4.699999999999999734e-01
-9.699999999999999734e-01,-4.699999999999999734e-01
-9.699999999999999734e-01,-4.119443922117634882e-01
-9.699999999999999734e-01,-3.516256690937816787e-01
-9.699999999999999734e-01,-2.896228077892911146e-01
-9.699999999999999734e-01,-2.242473786469237618e-01
-9.699999999999999734e-01,-1.579859723084934275e-01
-9.699999999999999734e-01,-9.113682644011286693e-02
-9.699999999999999734e-01,-2.370152968543608879e-02
-9.699999999999999734e-01,4.363742025590318374e-02
-9.699999999999999734e-01,1.241390909471024734e-01
-9.699999999999999734e-01,2.023185167059061706e-01
-9.699999999999999734e-01,2.608434776280540435e-01
-9.699999999999999734e-01,3.150985335781839591e-01
-9.699999999999999734e-01,3.693499851438386550e-01
-9.699999999999999734e-01,4.266848002040802279e-01
-9.699999999999999734e-01,4.699999999999999734e-01
-9.381374055543639789e-01,4.699999999999999734e-01
-8.914585676597128749e-01,4.699999999999999734e-01
-8.410520257904519070e-01,4.699999999999999734e-01
-7.877425750119642078e-01,4.699999999999999734e-01
-7.173260245602292029e-01,4.699999999999999734e-01
-6.445604358893732844e-01,4.699999999999999734e-01
-5.868782257905764688e-01,4.699999999999999734e-01
-5.439126224821013711e-01,4.699999999999999734e-01
-4.831192918371149392e-01,4.699999999999999734e-01
-4.057123809878733778e-01,4.699999999999999734e-01
-3.588559441966055474e-01,4.699999999999999734e-01
-2.960025869456918701e-01,4.699999999999999734e-01
-2.308971918649344868e-01,4.699999999999999734e-01
-1.655292420337891868e-01,4.699999999999999734e-01
-1.000348524345531231e-01,4.699999999999999734e-01
-3.445315280027190508e-02,4.699999999999999734e-01
3.222584604819365289e-02,4.699999999999999734e-01
1.139778002966364417e-01,4.699999999999999734e-01
1.803451871634672854e-01,4.699999999999999734e-01
2.462435178891251852e-01,4.699999999999999734e-01
3.129235385496543231e-01,4.699999999999999734e-01
3.791564776381859403e-01,4.699999999999999734e-01
4.438057348609867336e-01,4.699999999999999734e-01
5.073600094416461648e-01,4.699999999999999734e-01
5.708568242458033071e-01,4.699999999999999734e-01
6.339929816809708463e-01,4.699999999999999734e-01
6.933248518047799847e-01,4.699999999999999734e-01
7.352157412483352195e-01,4.699999999999999734e-01
7.899306814018233203e-01,4.699999999999999734e-01
8.451526956617355646e-01,4.699999999999999734e-01
9.011649322419206243e-01,4.699999999999999734e-01
9.699999999999999734e-01,4.699999999999999734e-01
9.699999999999999734e-01,3.910267679599478963e-01
9.699999999999999734e-01,3.271479410128125820e-01
9.699999999999999734e-01,2.809641358934378275e-01
9.699999999999999734e-01,2.197796236648759671e-01
9.699999999999999734e-01,1.595611156157842325e-01
9.699999999999999734e-01,1.031313164549493427e-01
9.699999999999999734e-01,4.806021233532065118e-02
9.699999999999999734e-01,-8.085314277027914193e-03
9.699999999999999734e-01,-6.660836299763095436e-02
9.699999999999999734e-01,-1.268544635682749278e-01
9.699999999999999734e-01,-1.885026049011861993e-01
9.699999999999999734e-01,-2.507325500886075087e-01
9.699999999999999734e-01,-3.098792370734863577e-01
9.699999999999999734e-01,-3.522326527156203202e-01
9.699999999999999734e-01,-3.956197720577104282e-01
9.699999999999999734e-01,-4.699999999999999734e-01
9.030544553976233013e-01,-4.699999999999999734e-01
8.501072430116337619e-01,-4.699999999999999734e-01
8.115484060525099963e-01,-4.699999999999999734e-01
7.572536215904447365e-01,-4.699999999999999734e-01
6.850129764600902949e-01,-4.699999999999999734e-01
6.225201803407107715e-01,-4.699999999999999734e-01
5.441057606224430909e-01,-4.699999999999999734e-01
4.649108140057739980e-01,-4.699999999999999734e-01
4.034586114713872296e-01,-4.699999999999999734e-01
3.589883596166881241e-01,-4.699999999999999734e-01
2.987159585260346639e-01,-4.699999999999999734e-01
2.360980254387015642e-01,-4.699999999999999734e-01
1.722881431192329060e-01,-4.699999999999999734e-01
9.418668699320288662e-02,-4.699999999999999734e-01
3.133612115723003605e-02,-4.699999999999999734e-01
-3.063998473271763168e-02,-4.699999999999999734e-01
-1.045894932217786150e-01,-4.699999999999999734e-01
-1.750209818073281132e-01,-4.699999999999999734e-01
-2.322853979437847771e-01,-4.699999999999999734e-01
-2.905124322842160822e-01,-4.699999999999999734e-01
-3.501608283069303496e-01,-4.699999999999999734e-01
-4.088990769853659835e-01,-4.699999999999999734e-01
-4.523470732871466282e-01,-4.699999999999999734e-01
-5.100346932857209303e-01,-4.699999999999999734e-01
-5.655273365555831822e-01,-4.699999999999999734e-01
-6.051189355438900686e-01,-4.699999999999999734e-01
-6.586767510307200979e-01,-4.699999999999999734e-01
-7.144557423756324743e-01,-4.699999999999999734e-01
-7.842392327135210284e-01,-4.699999999999999734e-01
-8.412553041575506763e-01,-4.699999999999999734e-01
-9.112964474846931839e-01,-4.699999999999999734e-01
-9.699999999999999734e-01,-4.699999999999999734e-01
-9.699999999999999734e-01,-3.920104202083301015e-01
-9.699999999999999734e-01,-3.317468987004007497e-01
-9.699999999999999734e-01,-2.663079615741376638e-01
-9.699999999999999734e-01,-1.840139174194277694e-01
-9.699999999999999734e-01,-1.345419061798347471e-01
-9.699999999999999734e-01,-6.893053135778315355e-02
-9.699999999999999734e-01,-1.975869064660962238e-03
-9.699999999999999734e-01,5.847807048577700201e-02
-9.699999999999999734e-01,8.669443647196696523e-02
-9.699999999999999734e-01,1.429964530398374623e-01
-9.699999999999999734e-01,1.865361209136160436e-01
-9.699999999999999734e-01,2.424065065943957487e-01
-9.699999999999999734e-01,2.971328086128967039e-01
-9.699999999999999734e-01,3.511665971180206736e-01
-9.699999999999999734e-01,4.089514010172606295e-01
-9.699999999999999734e-01,4.699999999999999734e-01
-9.243808859126498856e-01,4.699999999999999734e-01
-8.755636744468010546e-01,4.699999999999999734e-01
-8.245272961944554169e-01,4.699999999999999734e-01
-7.729249152537790435e-01,4.699999999999999734e-01
-7.342528495284486034e-01,4.699999999999999734e-01
-6.803232735706797873e-01,4.699999999999999734e-01
-6.237871957682716850e-01,4.699999999999999734e-01
-5.654528448410075514e-01,4.699999999999999734e-01
-5.051630669040318988e-01,4.699999999999999734e-01
-4.435451838689755122e-01,4.699999999999999734e-01
-3.810849011822709520e-01,4.699999999999999734e-01
-3.174133150068600973e-01,4.699999999999999734e-01
-2.526145754275563871e-01,4.699999999999999734e-01
-1.873322693856720733e-01,4.699999999999999734e-01
-1.218802273854825979e-01,4.699999999999999734e-01
-5.639867662197230874e-02,4.699999999999999734e-01
8.726134155131232487e-03,4.699999999999999734e-01
7.334480110477933912e-02,4.699999999999999734e-01
1.393885444506147153e-01,4.699999999999999734e-01
2.222376884270038100e-01,4.699999999999999734e-01
2.905037796333425071e-01,4.699999999999999734e-01
3.573203302605546527e-01,4.699999999999999734e-01
4.207722023139808809e-01,4.699999999999999734e-01
4.667708325732616292e-01,4.699999999999999734e-01
5.283993472487682475e-01,4.699999999999999734e-01
5.919681094418376421e-01,4.699999999999999734e-01
6.545291462826001716e-01,4.699999999999999734e-01
7.144172786065740022e-01,4.699999999999999734e-01
7.713727755937028752e-01,4.699999999999999734e-01
8.266520603212725860e-01,4.699999999999999734e-01
8.811720715795676728e-01,4.699999999999999734e-01
